text,id,time,labels,label_2,label_3,label
Heretic Obviously being in I agree however I ’ seen of lately and just take issue with hearing how great the 10 % coverage is .,950772552133152769,2018-01-09 16:53:35+00:00,side-effect,,,10
Just read such compelling research about the flu vaccine on - Syndrome in ( known and unknown ) people and now I ’ m to death . .,961785391530610688,2018-02-09 02:14:41+00:00,side-effect,,,10
can be dangerous like the small pox vaccination .,988294142202601472,2018-04-23 05:50:59+00:00,side-effect,,,10
are not foolproof & ; not all the have a cure like black very common and other parasitic that have no cure or vaccine !,988297464401641472,2018-04-23 06:04:11+00:00,ineffective,,,2
an autistic child my family . I took my healthy baby to the doctor that gave the vaccine that it . I live with guilt and regret every day of my life . I know that was what it and you will never convince me otherwise .,990069817074962433,2018-04-28 03:26:53+00:00,side-effect,,,10
"Don ' t vaccine have some kind of legal immunity so that they can not be ? These have for raising what we saw with our own . I knew when my baby got sick in 1990 , then "" autistic "" it was the vaccine .",990803313439465478,2018-04-30 04:01:32+00:00,pharma,side-effect,,6
have been at & ; lied to for so long it ' s tough to believe anything the medical community or government us about the safety of the vaccine . I have 5 infectious from whatever bit me . There ' s no vaccine for that .,1001799828123344897,2018-05-30 12:17:46+00:00,side-effect,,,10
I always feel like all should be tested for ; like they have a dormant disease that ' s triggered by a vaccine and autism - type . Many I know found their triggered by a flu vaccine .,1002154874195324930,2018-05-31 11:48:35+00:00,side-effect,,,10
"re : your recent story on water on US bases , you one reason there is little investigation is that , big that produce the , are trying to protect themselves . Just might be the same thing going on with vaccine related",1015736718094360576,2018-07-07 23:17:59+00:00,pharma,side-effect,,6
"I know . But is another instance in which the vaccine was / could be linked to death , so thought I ' d show it as well here .",1016796208331882497,2018-07-10 21:28:01+00:00,side-effect,,,10
"I never said it was a citation and it certainly ' t hearsay . There have been many over the of teens dying from the vaccine and my daughter ' s experience is real . should do the research , not just take your word for it .",1021843167992139777,2018-07-24 19:42:50+00:00,side-effect,,,10
"of autistic are & ; set - straight by too many "" "" out there . My sons vaccine overload . They oxygen deficiency at birth . Brain damage that autism can come from many different . Research on vaccine injury must be .",1048372107049095169,2018-10-06 00:39:22+00:00,side-effect,,,10
"If you got it anyway been , maybe the person who gave it to you was also and got it anyway . Not a good story to support , .",1051869354088951808,2018-10-15 16:16:11+00:00,ineffective,,,2
"Agreed , especially with the flu of late . And a number actually contract seem to CONTRACT the flu , or some mild version , during the vaccination itself . As I said ; in some , we seem to be over - .",1064229450605346817,2018-11-18 18:50:48+00:00,side-effect,,,10
"Why ? This "" vaccine "" is dangerous . My daughter fell ill after one dose and that was it for us . Don ' t be bought by these greedy drug from where it ' s all about profit not health .",1071017964994850816,2018-12-07 12:25:56+00:00,pharma,side-effect,,6
"Impossible for you to see the other side ? I dug deep in it ago and there are countless undeniable of walking , talking , one day and unable to do any of that the day after a vaccine overload . It should concern you that the ' t know why",1072893661988483075,2018-12-12 16:39:17+00:00,side-effect,,,10
It would cause a panic and no one would get if they discovered why . I get that . But they won ' t prevent the issue and that me . They won ' t even actually study it . are big business with powerful . Why not spread them out one at a time and find ..,1072894070933110787,2018-12-12 16:40:54+00:00,pharma,,,6
"that people need . They admit there ' s a problem and in fact pay out millions to those injured ( the vaccine pay , not ), yet they ' t fixing the problem or trying to find it . That should concern everyone . . if it could be your who is affected . Do you see ?",1072895118762369025,2018-12-12 16:45:04+00:00,pharma,,,6
"So , you are going to turn those who actually have serious to vaccine into social ? Not all unvaccinated people are by choice . Since ' undocumented ' are also often undocumented in of their , I assume you ' re them .",1090704386450432001,2019-01-30 20:12:44+00:00,mandatory,,,4
"divus Please don ' t be so harsh . I my but one of them had severe allergic to a vaccine ingredient . If he , should he be forced to vaccinate them even at the risk of his a similar life - threatening reaction ?",1094294615711236096,2019-02-09 17:59:02+00:00,side-effect,ingredients,mandatory,10
