text,id,time,labels,label_2,label_3,label
Heretic Obviously being in I agree however I ’ seen of lately and just take issue with hearing how great the 10 % coverage is .,950772552133152769,2018-01-09 16:53:35+00:00,side-effect,,,10
can be dangerous like the small pox vaccination .,988294142202601472,2018-04-23 05:50:59+00:00,side-effect,,,10
"If you got it anyway been , maybe the person who gave it to you was also and got it anyway . Not a good story to support , .",1051869354088951808,2018-10-15 16:16:11+00:00,ineffective,,,2
"So , you are going to turn those who actually have serious to vaccine into social ? Not all unvaccinated people are by choice . Since ' undocumented ' are also often undocumented in of their , I assume you ' re them .",1090704386450432001,2019-01-30 20:12:44+00:00,mandatory,,,4
bot He received enough of vaccine that he likely sufficient immunity . My point is that it is not irrational or anti - science to have about . There is beginning to be a mob mentality against anyone who such . I wish we could all talk rationally .,1094328234827747328,2019-02-09 20:12:37+00:00,none,,,5
Which claim are you suggesting is unsubstantiated ? Any search on vaccine risk or severe reaction a plethora of background . Those in power would call it anecdotal because science ’ t stepped up and on this very real issue . Personal experience !!,1096398669589479424,2019-02-15 13:19:47+00:00,side-effect,,,10
"I like your attitude , since most occur among the . Those that are not have natural immunity .",1101646247037874181,2019-03-02 00:51:47+00:00,side-effect,,,10
be wanting little to get as soon as they come out the womb . So they ’ re body use to fighting the infection . Though don ’ t have an immune system to begin with till like 2 old . You tell that and they just are at you with a blank 😶,1119656764763455489,2019-04-20 17:39:09+00:00,none,,,5
please please speak with re 🙏🙏🙏 Don ’ t take our constitutional away to choose whether to be or not . It ’ s not the or the job to force us into taking poison into our .,1122216014698074112,2019-04-27 19:08:42+00:00,mandatory,side-effect,,4
"My only got one dose of vaccine on the day they were born , since then I never took them to the clinic for . They are are strong and healthy . Our body have the ability heal itself . Knowledge is Power .",1150653782130343936,2019-07-15 06:30:14+00:00,unnecessary,,,11
If you are looking for more information and vaccine injury please visit,1171847450056957952,2019-09-11 18:06:18+00:00,side-effect,,,10
Interesting how ’ s chairman for the underprivileged to get but won ’ t have his own !,1175986107793707010,2019-09-23 04:11:51+00:00,conspiracy,,,0
And she ’ s probably never studied a vaccine insert .,1217272355040395266,2020-01-15 02:28:39+00:00,none,,,5
"S398 ~ school to vaccinate a minor of 14 with any vaccine , is all . that ’ s her baby . After yesterday for some reason she that ’ s what want . Can you imagine someone doing something to HER 14 yr old without her consent ? I can ’ t",1217274193781370881,2020-01-15 02:35:58+00:00,mandatory,,,4
It never any year . Explain to me how a vaccine is made / PRIOR to the “ flu outbreak ”? Do they have ? Do they test these prior to the down population ? SCAM,1217799242640764934,2020-01-16 13:22:19+00:00,conspiracy,,,0
Like I ’ said before vaccine ethics is an oxymoron .,1218024321010077696,2020-01-17 04:16:42+00:00,none,,,5
"We , the people , as registered request an executive order protecting religious & ; a stop to ' s agenda to mandate liability free mass . "" Save our & ; their "". 1A",1218206152070176768,2020-01-17 16:19:14+00:00,mandatory,,,4
there is an epidemic happening in vaccine and we the people want,1218308587761623044,2020-01-17 23:06:17+00:00,side-effect,,,10
You know how ? by proving to us that are safe and effective . Give us those . They are nonexistent . Prove to us that we are wrong . Do just one unvaccinated study or one study showing those don ' t cause .,1219337634700517377,2020-01-20 19:15:20+00:00,side-effect,rushed,ineffective,10
. And every time there ’ s a little it ’ s always the that were,1219762164908666880,2020-01-21 23:22:16+00:00,side-effect,,,10
"and Race Most essentially expose your immune system to a piece of a virus . It the body to attack that piece . It ' t stop the virus from entering your body . So , the effectiveness of the vaccine on your immune system ' s response . Some are better than .",1221472881043038208,2020-01-26 16:40:03+00:00,ineffective,,,2
"SHOCKER : New “ ” from monkey , infected and human – just , those are common vaccine of millions of put 100 ( article )",1222861183247683585,2020-01-30 12:36:40+00:00,ingredients,,,3
No they are not . The vaccine ’ t suitable for under 6 do not suitable for unborn .... it ’ s not been tested on unborn or pregnant either . Stuff like this is dangerous .,1222961288906772481,2020-01-30 19:14:27+00:00,rushed,ineffective,,9
"do you know what are designed to do ? do you think a primary or secondary immune response is more effective during infection ? is indeed liable for fraud , negligence , . They are not liable for similar to to , They do fund the",1227661478422908928,2020-02-12 18:31:19+00:00,pharma,ineffective,,6
Mommy Coming down with measles in spite of being ( which since 3 % of don ' t develop lasting immunity ) is NOT AT ALL THE SAME as coming down with vaccine - strain measles ( which ' t happen ).,1231058859957067776,2020-02-22 03:31:18+00:00,ineffective,side-effect,,2
"I ' t get the vaccine , and I ' m old . They might get me , the soulless .",1231456152875040768,2020-02-23 05:50:00+00:00,none,,,5
t You are so right . We should NEVER be told what to put in our . It is our right to say no,1232425776743620608,2020-02-25 22:02:57+00:00,mandatory,,,4
This is one of the many of my research . In this site information in relation to common side and unique adverse . important stuff for a parent to know when getting your . Information we did not receive when getting our .,1232470180921409536,2020-02-26 00:59:23+00:00,side-effect,,,10
Not even close . This vaccine will not be ready for human use for another year and a half . They haven ' t even done basic animal yet . Several big are working . as treatment ' s vaccine ready for . But not the one,1233113022048165888,2020-02-27 19:33:49+00:00,rushed,,,9
